Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
08/27/2026 09:00 AM ET,"12164 MOON SHELL DR MATLACHA ISLES, FL- 33991","$291,314.03","$366,615.00","$227,096.50",25-CA-002286,18-44-23-06-00001.0680,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002286&bypassPage=1,https://pcpao.gov/Parcel-Details/18-44-23-06-00001.0680
08/27/2026 09:00 AM ET,"1906 SE 14TH ST CAPE CORAL, FL- 33990","$262,324.49","$409,031.00",Hidden,25-CA-002803,20-44-24-C4-01260.0310,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002803&bypassPage=1,https://pcpao.gov/Parcel-Details/20-44-24-C4-01260.0310
08/27/2026 09:00 AM ET,"3312 OLD BURNT STORE RD N CAPE CORAL, FL- 33993","$316,933.86","$236,672.00","$408,781.40",25-CA-003385,Property,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-003385&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
08/27/2026 09:00 AM ET,"12635 BLUE BANYON CT NORTH FORT MYERS, FL- 33903","$210,472.54","$389,457.00","$221,096.98",25-CA-004606,15-44-24-05-00000.0810,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-004606&bypassPage=1,https://pcpao.gov/Parcel-Details/15-44-24-05-00000.0810
08/27/2026 09:00 AM ET,"5225 CEDARBEND DR 1 FORT MYERS, FL- 33919","$29,503.25","$151,248.00","$29,503.25",25-CA-004905,02-45-24-P4-02325.0010,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-004905&bypassPage=1,https://pcpao.gov/Parcel-Details/02-45-24-P4-02325.0010
08/27/2026 09:00 AM ET,"12601 HUNTERS RIDGE DR BONITA SPRINGS, FL- 34135","$43,032.80","$370,807.00","$43,032.80",25-CA-005110,06-48-26-B3-0010C.0020,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-005110&bypassPage=1,https://pcpao.gov/Parcel-Details/06-48-26-B3-0010C.0020
08/27/2026 09:00 AM ET,"4212 5TH ST W LEHIGH ACRES, FL- 33971","$212,685.02","$219,309.00",Hidden,25-CA-005331,27-44-26-L4-01007.0170,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-005331&bypassPage=1,https://pcpao.gov/Parcel-Details/27-44-26-L4-01007.0170
08/27/2026 09:00 AM ET,"1908 CHRISTOPHER AVE N LEHIGH ACRES, FL- 33971","$396,457.68","$286,250.00","$174,000.00",25-CA-005368,22-44-26-L3-02028.0050,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-005368&bypassPage=1,https://pcpao.gov/Parcel-Details/22-44-26-L3-02028.0050
08/27/2026 09:00 AM ET,"4513 SW 8TH CT 103 CAPE CORAL, FL- 33914","$165,694.85","$94,451.00","$105,295.00",25-CA-005578,10-45-23-C3-00200.1030,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-005578&bypassPage=1,https://pcpao.gov/Parcel-Details/10-45-23-C3-00200.1030
09/03/2026 09:00 AM ET,"1824 SW 28TH LN CAPE CORAL, FL- 33914","$740,091.47","$428,915.00","$740,091.47",25-CA-002981,33-44-23-C3-04791.0200,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002981&bypassPage=1,https://pcpao.gov/Parcel-Details/33-44-23-C3-04791.0200
09/03/2026 09:00 AM ET,"15740 PORTOFINO SPRINGS BLVD FORT MYERS, FL- 33908","$20,766.56","$233,339.00","$20,766.56",25-CA-002991,33-45-24-24-0000G.0070,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002991&bypassPage=1,https://pcpao.gov/Parcel-Details/33-45-24-24-0000G.0070
09/03/2026 09:00 AM ET,"1112 NE 12TH TER CAPE CORAL, FL- 33909","$447,674.47","$295,224.00","$447,674.47",25-CA-003344,06-44-24-C1-02075.0090,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-003344&bypassPage=1,https://pcpao.gov/Parcel-Details/06-44-24-C1-02075.0090
09/03/2026 09:00 AM ET,"10925 RUSSELL RD BOKEELIA, FL- 33922","$280,157.54","$132,823.00","$280,157.54",25-CA-003474,28-44-22-10-0000D.0020,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-003474&bypassPage=1,https://pcpao.gov/Parcel-Details/28-44-22-10-0000D.0020
09/03/2026 09:00 AM ET,"3828 TIBOR CIR FORT MYERS , FL- 33916","$15,397.08","$440,480.00","$513,758.32",25-CA-004039,Property,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-004039&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
09/03/2026 09:00 AM ET,"15437 CRYSTAL LAKE DR NORTH FORT MYERS, FL- 33917","$155,244.83","$145,436.00","$155,244.83",25-CA-004451,36-43-24-24-00029.00B0,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-004451&bypassPage=1,https://pcpao.gov/Parcel-Details/36-43-24-24-00029.00B0
