Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
09/03/2026 09:00 AM ET,"1824 SW 28TH LN CAPE CORAL, FL- 33914","$740,091.47","$428,915.00","$391,500.00",25-CA-002981,33-44-23-C3-04791.0200,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002981&bypassPage=1,https://pcpao.gov/Parcel-Details/33-44-23-C3-04791.0200
09/03/2026 09:00 AM ET,"15740 PORTOFINO SPRINGS BLVD FORT MYERS, FL- 33908","$20,766.56","$233,339.00","$20,766.56",25-CA-002991,33-45-24-24-0000G.0070,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002991&bypassPage=1,https://pcpao.gov/Parcel-Details/33-45-24-24-0000G.0070
09/03/2026 09:00 AM ET,"1112 NE 12TH TER CAPE CORAL, FL- 33909","$447,674.47","$295,224.00",Hidden,25-CA-003344,06-44-24-C1-02075.0090,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-003344&bypassPage=1,https://pcpao.gov/Parcel-Details/06-44-24-C1-02075.0090
09/03/2026 09:00 AM ET,"10925 RUSSELL RD BOKEELIA, FL- 33922","$280,157.54","$132,823.00",Hidden,25-CA-003474,28-44-22-10-0000D.0020,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-003474&bypassPage=1,https://pcpao.gov/Parcel-Details/28-44-22-10-0000D.0020
09/03/2026 09:00 AM ET,"404 CHIQUITA BLVD N CAPE CORAL, FL- 33993","$513,758.32","$440,480.00","$408,000.00",25-CA-004374,09-44-23-C3-03760.0450,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-004374&bypassPage=1,https://pcpao.gov/Parcel-Details/09-44-23-C3-03760.0450
09/03/2026 09:00 AM ET,"15437 CRYSTAL LAKE DR NORTH FORT MYERS, FL- 33917","$155,244.83","$145,436.00","$155,244.83",25-CA-004451,36-43-24-24-00029.00B0,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-004451&bypassPage=1,https://pcpao.gov/Parcel-Details/36-43-24-24-00029.00B0
09/03/2026 09:00 AM ET,"4231 ERINDALE DR NORTH FORT MYERS, FL- 33903","$606,213.89","$254,392.00",Hidden,25-CA-004835,16-44-24-02-00000.0010,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-004835&bypassPage=1,https://pcpao.gov/Parcel-Details/16-44-24-02-00000.0010
09/03/2026 09:00 AM ET,"2713 SW 22ND AVE CAPE CORAL, FL- 33914","$356,840.79","$194,521.00",Hidden,25-CA-005332,33-44-23-C1-05893.0060,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-005332&bypassPage=1,https://pcpao.gov/Parcel-Details/33-44-23-C1-05893.0060
09/03/2026 09:00 AM ET,"3411 SW 15TH AVE CAPE CORAL, FL- 33914","$224,436.62","$286,337.00",Hidden,25-CA-005541,03-45-23-C1-03263.0030,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-005541&bypassPage=1,https://pcpao.gov/Parcel-Details/03-45-23-C1-03263.0030
09/03/2026 09:00 AM ET,"2928 7TH ST SW LEHIGH ACRES, FL- 33976","$396,188.55","$251,377.00",Hidden,25-CA-005596,36-44-26-L1-03020.0160,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-005596&bypassPage=1,https://pcpao.gov/Parcel-Details/36-44-26-L1-03020.0160
09/10/2026 09:00 AM ET,"4015 6TH ST W LEHIGH ACRES, FL- 33971","$338,412.42","$325,426.00","$338,412.42",25-CA-005977,27-44-26-L4-03033.0030,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-005977&bypassPage=1,https://pcpao.gov/Parcel-Details/27-44-26-L4-03033.0030
09/17/2026 09:00 AM ET,"5761 FOXLAKE DR F NORTH FORT MYERS, FL- 33917","$69,848.18","$94,881.00","$69,848.18",24-CA-003878,36-43-24-25-02000.00F0,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=24-CA-003878&bypassPage=1,https://pcpao.gov/Parcel-Details/36-43-24-25-02000.00F0
09/17/2026 09:00 AM ET,"3811 SW 6TH PL CAPE CORAL, FL- 33914","$44,074.69","$251,203.00","$44,074.69",24-CA-004092,02-45-23-C4-01756.0070,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=24-CA-004092&bypassPage=1,https://pcpao.gov/Parcel-Details/02-45-23-C4-01756.0070
09/17/2026 09:00 AM ET,"3213 VERA CT LEHIGH ACRES, FL- 33976","$232,798.37","$21,803.00","$232,798.37",25-CA-002317,11-45-26-L1-01005.0020,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002317&bypassPage=1,https://pcpao.gov/Parcel-Details/11-45-26-L1-01005.0020
09/17/2026 09:00 AM ET,"900 NW EMBERS TER CAPE CORAL, FL- 33993","$483,847.99","$317,012.00","$483,847.99",25-CA-002775,10-44-23-C3-03646.0560,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002775&bypassPage=1,https://pcpao.gov/Parcel-Details/10-44-23-C3-03646.0560
09/17/2026 09:00 AM ET,"2815 11TH ST SW LEHIGH ACRES, FL- 33976","$391,424.77","$247,178.00","$391,424.77",25-CA-002859,36-44-26-L4-08078.0030,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002859&bypassPage=1,https://pcpao.gov/Parcel-Details/36-44-26-L4-08078.0030
09/17/2026 09:00 AM ET,"325 SE 30TH ST CAPE CORAL, FL- 33904","$80,987.55","$272,618.00","$80,987.55",25-CA-002865,36-44-23-C4-00868.0350,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002865&bypassPage=1,https://pcpao.gov/Parcel-Details/36-44-23-C4-00868.0350
09/17/2026 09:00 AM ET,"5913 UNTERMEYER CT NORTH FORT MYERS, FL- 33903","$383,145.22","$261,848.00","$383,145.22",25-CA-003434,16-44-24-17-00003.1410,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-003434&bypassPage=1,https://pcpao.gov/Parcel-Details/16-44-24-17-00003.1410
09/17/2026 09:00 AM ET,"2100 BARKELEY LN 14 FORT MYERS, FL- 33907","$163,118.79","$72,433.00","$163,118.79",25-CA-003580,13-45-24-30-00000.0140,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-003580&bypassPage=1,https://pcpao.gov/Parcel-Details/13-45-24-30-00000.0140
09/17/2026 09:00 AM ET,"8071 COUNTRY RD 203 FORT MYERS, FL- 33919","$77,257.43","$85,272.00","$77,257.43",25-CA-003595,34-45-24-07-00010.2030,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-003595&bypassPage=1,https://pcpao.gov/Parcel-Details/34-45-24-07-00010.2030
09/17/2026 09:00 AM ET,"1617 SW 18TH LN CAPE CORAL, FL- 33991","$317,413.08","$334,053.00","$317,413.08",25-CA-004158,28-44-23-C2-04816.0260,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-004158&bypassPage=1,https://pcpao.gov/Parcel-Details/28-44-23-C2-04816.0260
09/24/2026 09:00 AM ET,"3118 15TH ST SW LEHIGH ACRES, FL- 33976","$267,774.65","$187,097.00","$267,774.65",24-CA-007786,35-44-26-L3-12109.0050,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=24-CA-007786&bypassPage=1,https://pcpao.gov/Parcel-Details/35-44-26-L3-12109.0050
09/24/2026 09:00 AM ET,"1319 SE 37TH ST CAPE CORAL, FL- 33904","$321,096.28","$216,647.00","$321,096.28",25-CA-002044,06-45-24-C3-00527.0360,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002044&bypassPage=1,https://pcpao.gov/Parcel-Details/06-45-24-C3-00527.0360
09/24/2026 09:00 AM ET,"16440 ARBOR RIDGE DR FORT MYERS, FL- 33908","$273,422.70","$113,851.00","$273,422.70",25-CA-002432,02-46-23-02-0000D.0660,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002432&bypassPage=1,https://pcpao.gov/Parcel-Details/02-46-23-02-0000D.0660
