Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
06/25/2026 09:00 AM ET,"1417 NE 11TH ST CAPE CORAL, FL- 33909","$296,025.91","$184,348.00","$296,025.91",23-CA-007795,06-44-24-C3-02031.0410,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=23-CA-007795&bypassPage=1,https://pcpao.gov/Parcel-Details/06-44-24-C3-02031.0410
06/25/2026 09:00 AM ET,"204 NW 28TH TER CAPE CORAL, FL- 33993","$392,145.30","$278,422.00","$392,145.30",24-CA-005663,26-43-23-C2-02783.0170,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=24-CA-005663&bypassPage=1,https://pcpao.gov/Parcel-Details/26-43-23-C2-02783.0170
06/25/2026 09:00 AM ET,"5208/5210 25TH ST SW LEHIGH ACRES, FL- 33973","$256,481.42","$323,010.00","$256,481.42",24-CA-006651,31-44-26-L2-02005.0200,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=24-CA-006651&bypassPage=1,https://pcpao.gov/Parcel-Details/31-44-26-L2-02005.0200
06/25/2026 09:00 AM ET,"4319 9TH ST W LEHIGH ACRES, FL- 33971","$121,553.12","$455,531.00","$121,553.12",25-CA-000609,28-44-26-L2-10095.0010,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-000609&bypassPage=1,https://pcpao.gov/Parcel-Details/28-44-26-L2-10095.0010
06/25/2026 09:00 AM ET,"3213 VERA CT LEHIGH ACRES, FL- 33976","$232,798.37","$21,803.00","$232,798.37",25-CA-002317,11-45-26-L1-01005.0020,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002317&bypassPage=1,https://pcpao.gov/Parcel-Details/11-45-26-L1-01005.0020
06/25/2026 09:00 AM ET,"2219 NW 3 AVE CAPE CORAL , FL- 33993","$427,653.84","$230,698.00","$307,196.93",25-CA-002453,Property,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002453&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
06/25/2026 09:00 AM ET,"4953 HOWARD ST FORT MYERS, FL- 33905","$90,560.91","$175,918.00","$90,560.91",25-CA-002659,09-44-25-15-0000B.0080,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002659&bypassPage=1,https://pcpao.gov/Parcel-Details/09-44-25-15-0000B.0080
06/25/2026 09:00 AM ET,"6224 PRINCIPIA DR 1 FORT MYERS, FL- 33919","$43,058.95","$107,478.00","$43,058.95",25-CA-002755,22-45-24-27-00244.0010,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002755&bypassPage=1,https://pcpao.gov/Parcel-Details/22-45-24-27-00244.0010
06/25/2026 09:00 AM ET,"2821 20TH ST SW LEHIGH ACRES, FL- 33976","$384,250.66","$246,701.00","$384,250.66",25-CA-002914,01-45-26-L1-06059.0040,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002914&bypassPage=1,https://pcpao.gov/Parcel-Details/01-45-26-L1-06059.0040
07/09/2026 09:00 AM ET,"2835 SE 17TH PL CAPE CORAL, FL- 33904","$483,124.34","$479,315.00","$483,124.34",21-CA-003005,32-44-24-C4-01182.0070,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=21-CA-003005&bypassPage=1,https://pcpao.gov/Parcel-Details/32-44-24-C4-01182.0070
07/09/2026 09:00 AM ET,"1045 NE 2ND ST CAPE CORAL, FL- 33909","$263,637.71","$279,397.00","$263,637.71",23-CA-006531,07-44-24-C4-03586.0330,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=23-CA-006531&bypassPage=1,https://pcpao.gov/Parcel-Details/07-44-24-C4-03586.0330
07/09/2026 09:00 AM ET,"2521 SE 19TH PL CAPE CORAL, FL- 33904","$871,674.51","$697,367.00","$129,267.30",24-CA-003913,Property,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=24-CA-003913&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
07/09/2026 09:00 AM ET,"2436 CHANDLER AVE FORT MYERS, FL- 33907","$286,329.25","$408,766.00","$286,329.25",24-CA-007452,13-45-24-05-00029.0050,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=24-CA-007452&bypassPage=1,https://pcpao.gov/Parcel-Details/13-45-24-05-00029.0050
07/09/2026 09:00 AM ET,"1303 SW 34TH ST CAPE CORAL, FL- 33914","$224,129.66","$300,715.00","$224,129.66",25-CA-000531,03-45-23-C1-03254.0390,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-000531&bypassPage=1,https://pcpao.gov/Parcel-Details/03-45-23-C1-03254.0390
07/09/2026 09:00 AM ET,"4328 NW 35TH AVE CAPE CORAL, FL- 33993","$365,928.70","$312,099.00","$365,928.70",25-CA-000751,07-43-23-C3-06111.0260,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-000751&bypassPage=1,https://pcpao.gov/Parcel-Details/07-43-23-C3-06111.0260
07/09/2026 09:00 AM ET,"3807 9TH ST SW LEHIGH ACRES, FL- 33976","$315,443.06","$21,803.00","$315,443.06",25-CA-001174,34-44-26-L2-11103.0070,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-001174&bypassPage=1,https://pcpao.gov/Parcel-Details/34-44-26-L2-11103.0070
07/09/2026 09:00 AM ET,"2228 NW 7TH TER CAPE CORAL, FL- 33993","$153,138.05","$242,594.00","$153,138.05",25-CA-001353,09-44-23-C1-03779.0150,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-001353&bypassPage=1,https://pcpao.gov/Parcel-Details/09-44-23-C1-03779.0150
07/09/2026 09:00 AM ET,"11150 ORANGEWOOD DR BONITA SPRINGS, FL- 34135","$87,189.39","$269,319.00","$87,189.39",25-CA-001497,36-47-25-B4-0040B.0110,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-001497&bypassPage=1,https://pcpao.gov/Parcel-Details/36-47-25-B4-0040B.0110
07/16/2026 09:00 AM ET,"2445 WEST GULF DR 44A SANIBEL, FL- 33957","$59,455.13","$69,925.00","$803,646.27",22-CA-003861,Property,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=22-CA-003861&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
07/16/2026 09:00 AM ET,"2797 FIRST ST 2001 FORT MYERS, FL- 33916","$1,000,933.58","$585,841.00","$69,792.96",24-CA-000139,Property,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=24-CA-000139&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
07/16/2026 09:00 AM ET,"5701 RIVERSIDE DR CAPE CORAL, FL- 33904",$0.00,"$1,032,137.00","$1,538,657.51",25-CA-000630,Property,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-000630&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
